lane_id,origin_site_id,destination_site_id,active_days,total_observed_trips,total_orders,total_weight_kg,total_volume_m3,distance_km_p50,duration_hours_p50,duration_hours_p90,daily_weight_p50_kg,daily_weight_p90_kg,daily_volume_p50_m3,daily_volume_p90_m3,destination_city_count_p50
site_0971__site_1009,site_0971,site_1009,4,4,4,3.66,0.028543030000000004,54.0,2.138888888888889,2.138888888888889,0.98,1.14,0.006793015000000001,0.010523709000000001,1.0
site_2348__site_0758,site_2348,site_0758,4,4,4,8.2,0.074113,36.61,1.129861111111111,1.129861111111111,1.0,3.940000000000001,0.0044485,0.04429830000000001,1.0
site_1786__site_0168,site_1786,site_0168,4,4,4,6.92,0.055338,44.91,1.386111111111111,1.386111111111111,1.025,3.0240000000000005,0.007050000000000001,0.028572300000000005,1.0
site_0388__site_2191,site_0388,site_2191,2,4,4,5.18,0.043144,129.01,8.599305555555556,13.717416666666667,2.59,3.534,0.021572,0.032394400000000004,1.0
site_0472__site_0453,site_0472,site_0453,4,4,4,6.68,0.08928401999999999,11.15,0.41333333333333333,0.41333333333333333,1.395,2.5420000000000003,0.016106040000000002,0.037646438000000004,1.0
site_1786__site_0083,site_1786,site_0083,4,4,4,6.72,0.046337,38.68,1.912638888888889,1.912638888888889,1.68,2.36,0.0112125,0.019188,1.0
site_1786__site_0080,site_1786,site_0080,4,4,4,4.0,0.016941,26.83,0.9265277777777778,0.9265277777777778,1.0,1.0,0.004022,0.0046191,1.0
site_0690__site_0579,site_0690,site_0579,4,4,4,13.3,0.135365,65.0,3.2230555555555553,3.2230555555555553,1.9,6.790000000000001,0.011917500000000001,0.08060610000000001,1.0
site_1542__site_1957,site_1542,site_1957,4,4,4,4.2,0.027054,82.16,1.8029166666666667,1.8029166666666667,1.0,1.14,0.006,0.0089253,1.0
site_1786__site_0099,site_1786,site_0099,4,4,4,5.3,0.036796999999999996,22.18,1.9195833333333334,1.9195833333333334,1.1,2.1100000000000003,0.0076125,0.015052500000000002,1.0
site_1786__site_0061,site_1786,site_0061,3,4,4,4.15,0.031831,29.03,1.1180555555555556,1.1967222222222222,1.56,1.584,0.012852,0.014536,1.0
site_0388__site_1687,site_0388,site_1687,3,3,4,7.8500000000000005,0.08486160000000001,94.26,1.8777777777777778,1.8777777777777778,1.0,5.192,0.006,0.06107168000000001,1.0
